Word,Meaning
nepotism,(f.) ñātipakkhapātitā.
nepotist,(m.) ñātipakkapātī.
Neptune,(m.) samuddade va.
nervate,(adj.) nahāruyutta; phāsukāyutta.
nerve,(m.) nahāru. (f.) sirā; dhamanī. (nt.)
nerveless,(adj.) dubbala; ankkhama.
nervine,(adj.) sirāposanaka; sattijanaka.
nervously,(adv.) sak ampaṃ; saviriyaṃ.
nervousness,(nt.) sirādubbalatta. (m.)
nervy,(adj.) daḷhakāya; thāmavantu;
nescience,(f.) avijjā. (nt.) aññāṇa.
nescient,(adj.) anabhiñña; aññāṇī.
Ness,(nt.) desatuṇḍa.
nest,(nt.) kulāvaka. (m.) niḍḍa.  (nt.)
nesting,(m.) pakkhipotaka.
nestle,(v.i.) niḍḍe sayati. (v.t.) poseti. (pp.)
nestless,(adj.) vikulāvaka.
nestor,(m.) sadupadesaka.
net,(nt.) jāla. (adj.) niravasesa; suddha. (v.t. )
nether,(adj.) adhara; adhaṭṭha.
nether most,(adj.) adhotama.
nether region,(nt.) rasātala; adhobhuvana.
nether world,(nt.) rasātala; adhobhuvana.
nettle,(m.) kapikacchu. ( v.t.) kapikacchunā
neural,(adj.) nahāruvisayaka.
neuralgia,(f.) nahārugatavadanā.
neurasthenia,(nt.) nahārudubbalya.
neuritis,(m.) nahārudāha.
neurology,(nt.) nahāru viññāṇa.
neurosis,(m.) nahārudāha.
neurotic,(adj.) nahārupīḷaka. (m.)
neuter,(m.) napuṃsaka; apakkhagāhaka.
neutral,(adj.) apakkhagāhī; majjhaṭṭha;
neutralisation,(nt.) balanāsana;
neutralise,(v.t.) dubbalaṃ or udāsīnaṃ
neutrality,(f.) majjhattatā; apakkhagāhitā.
neutrally,(adv.) apakkhagāhena;
never,(adv.) na kudācanaṃ; na kadāci.
never more,(adv.) na puna.
nevertheless,(adv.) api ca; tathāpi; evam pi
new,(adj.) nava; abhinava; nūtana; navīna.
new comer,(m.) āgantuka; ādhunika;
new fangled,(adj.) accādhunika;
new moon,(m.) naracanda.
new moon day,(f.) amāvasī.
new year,(nt.) navavassa.
newly,(adv.) abhinavena.
news,(f.) pavatti. (m.) vuttanta; janavāda.
news monger,(m.) pavattihārī.
newsboy,(m.) pavattipatta -vikketu.
newsman,(m.) pavattipatta -vikketu.
newspaper,(nt.) pavattipatta.
newt,(f.) jalathalagocarā khuddakagodhā.
next,(adj.) anantara; accāsanna; āgāmī.
the next,(adv.) dutiyaṃ; anantaraṃ.
next but one,(m.) ekantarika.
next world,(m.) samparāya; anantarabhava.
nexus,(m.) paṭiññāb andha.
nib,(nt.) tuṇḍa; agga; lekhanīmukha. (v.t.)
nibble,(nt.) sanika -chindana. (v.t.) thoka -
nice,(adj.) sundara; sobhana; bhaddaka.
nicely,(adv.) sammā; ruciraṃ ;
niceness,(nt.) sundaratta; sobhanatta.
nicety,(nt.) sundaratta; sobhanatta.  niche : (f.) (paṭimādiṭhapanāya) bhittiguhā.
nick,(m.) yuttakāla; pattakāla; yathākāla.
nickel,(m.) rajatavisesa. (v.t.) tena lohena
nicknack,(nt.) khuddakabhaṇḍajāta.
nickname,(nt.) vikaṭanāma. (v.t.)
nicotian,(adj.) dhūmapaṇṇāyatta.
nicotine,(m.) dhūmapaṇṇasāra.
nictate,(v.i.)  nimesa -ummesaṃ pavatteti.
nictitate,(v.i.) nimesa -ummesaṃ pavatteti.
nidificate,(v.t.) kulāvake karoti. (pp.)
nidify,(v.t.) kulāvake karoti. (pp.)
niece,"(f.) (sister's daughter) bhāgineyyā,"
niggard,(adj & n.) kadariya; luddha.
niggardliness,(nt.) macchariya.
niggardl y,(adj.) maccharī; lobhādhika. (adv.)
nigger,(m.) kaṇhadehī.
niggle,(v.i.) niratthakakicce kālaṃ khepeti.
niggling,(adj.) appamattaka; appapayojana.
nigh,(adj.) āsanna; upakaṭṭha. (adv.)
night,(f.) nis ā; rajanī; ratti.
nightbird,(m.) uḷūka.
nightblind,(adj.) rattandha.
nightfall,(nt.) nisāmukha. (m.) abhidosa;
nightly,(adj.) nisāyatta. (adv.) anurattiṃ;
nightmare,(nt.) dussupina.
nightshade,(f.) nididdhikā.
nightstool,(f.) vaccapīṭhikā.
nightwatch,(f.) nisārakkhā. (m.) nisārakkhī.
nigrescent,(adj.) īsaṃkāḷavaṇṇa.
nigritude,(nt.) kaṇhatta.
nihilism,(m.) ucchedavāda; ntthikavāda.
nihilist,(m.) uccedavādī.
nihility,(f.) suññatā; avij jamānatā. (m.)
nil,(ind) na kiñci. (nt.) akiñcanatta.
nimble,(adj.) turita; sīghagatika.
nimbleness,(nt.) turitatta.
nimbly,(adv.) sīghaṃ; turitaṃ; āsu; lahuṃ
nimbus,(f.) ketumālā. (nt.) raṃsimaṇḍala.
nincompoop,(m.) jaḷabuddhika.
nine,(adj.) nava.
nine storeyed,(adj.) navabhūmaka.
ninefold,(adj.) navaṅgika; navaguṇika.
nineteen,(f.) ekūnavīsati.
nineteenth,(adj.) ekūnavīsatima.
ninety,(f.) navuti.
ninny,(m.) dandhapuggala.
ninth,(adj.) navama.
nip,(nt.) aggacchindana; ucchindana.
nipper,(m.) nakhavilikhaka.
nipping,(nt.) nikantana.
nipple,(nt.) cūcuka; thanagga.
nit,(f.) likkhā. (nt.) ūkaṇḍa.
nitrate,(m.) yavakhāra. (v.t.) yavakhārena
nitric,(adj.) jīvantakavāyuppādaka.
nitric acid,(nt.) jīv antakavisa.
nitrogen,(m.) nigguṇavāyu.
nitrous,(adj.) jīvantakayutta.
nitty,(adj.) likkhāpuṇṇā.
nix,(f.) nakiñci; jaladevatā.
no,(adj.; adv.) no; na; na hi.
no more,na ito uddhaṃ.
nob,(nt.) sīsa. (m.) uccākulīna. (v.t.)
nobble,(v.t.) ayathā āyattīkaroti; ayathā
nobby,(adj.) suvesa; pāsādika.
nobility,(nt.) kulūnatta; abhijātatta. (f.)
noble,(adj.) uttama; abhi jāta; uccākulīna.
noble elephant,(nt.) gajaratana.
noble horse,(m.) ājānīya.  noble minded : (adj.) uḷārajjhāsaya.
noble person,(m.) purisuttama;
noble practice,(m.) ariyadhamma.
noble truth,(nt.) ariyasacca.
nobleman,(m.) kulīna.
nobleness,(nt.) seṭṭhatta; uttamatta.
nobly,(adv.) pasatthākārena.
nobody,(negative) na koci.
nock,(nt.) jiyābandhanaṭṭhāna. (v.t.) saraṃ
noctambulant,(adj.) niddāya
noctambulation,(nt.) n iddāyāhiṇḍana.
noctambulist,(m.) antoniddāhiṇḍka.
noctiflourous,(adj.) rattiṃ -pupphanaka.
noctilucent,(adj.) rattibhāsura.
noctivagant,(adj.) nisācārī.
nocturnal,(adj.) nisācara; nisāgata;
nod,(nt.) sīsonamana. (v.i.) sīsam onamati ;
noddle,(v.t.) sīsaṃ okampeti. (pp.)
noddy,(m.) jalabuddhika; sāmuddika -
node,(nt.) pabba (m.) gaṇṭhi; vātagaṇḍa.
nodose,(adj.) gaṇṭhibahula; pab babahula.
nodule,(m.) khuddakagaṇṭhi.
nodus,(nt.) dukkaratta; dubbodhaṭṭhāna.
noetic,(adj.) buddhivisayaka.
nog,(m.) dārusaṅku; aṅkusa. (v.t.) khīlena
noggin,(m.) dārucasaka.
noise,(m.) sadda; rava; nād a; ghosa;
noiseful,(adj.) saghosa.
noiseless,(nissadda.
noiselessly,(adv.) nissaddatāya.
noisily,(adv.) mahāsaddena.
noisiness,(f.) uccāsa ddatā.
noisome,(adj.) duggandha; antarāyakara;
noisy,(adj.) uccasadda; saghosa.
noll,(m.) sīsamatthaka.
nom de plume,(nt.) āropitanāma.
nomad,(adj.) pasukulājīvī; athiranivāsī.
nomadic,(adj.) pariyāhiṇḍaka.
nomenclator,(m.) nāmadāyī .
nomenclature,(nt.) nāmavavatthāna;
nominal,(adj.) nāmasadisa; nāmamattaka;
nominate,(v.t.) nāmaṃ vadati or niddisati;
nomination,(f.) nāmayojanā.
nominative,(f.) paṭhamā vibhatti. (nt.)
nominator,(nāmayojaka; nāmaniddisaka.
nominee,(m.) niddiṭṭhanāma; niyojita.
non,(prep.) often expressed by a - prefixed to
nonage,(nt.) bālya. (m.) apahoṇakavaya. (f.)
nonagenarian,(adj.;  n.) navutivassika.
nonagon,(adj.; n.) navakoṇaka.
nonary,(adj.) navasaṅkhyaka. (nt.) navaka.
nonattachment,(m.) nissaṅga. (nt.)
nonattainment,(f.) appatti. (m.)
nonattention,(nt.) anavadhāna.
nonchalance,(f.) anapekkhatā; udāsīnatā.
nonchalant,(adj.) acala; nissaṅka; visārada.
noncontinuance,(f.) appavatti. (m.)
noncupate,(v.t.) (lekhanaṃ vinā) vācāya
nondescript,(adj.) duvit thāriya;
none,(pron) na koci; na kiñci; n'eko pi. (adv.)
nonendurance,(nt.) asahana.
nonentity,(m.) abhāva. (f.) appavatti. (nt.)
nonesuch,(adj.) asama; asadisa; appaṭma.
nonfeasance,(nt.) kattabbā karaṇa.
nongrowth,(f.) avirūḷhi.
nonhurting,(adj.) ahiṃsaka; aviheṭhaka.  nonkilling : (m.) māghāta.
nonobservance,(nt.) appaṭipajjana;
nonpareil,(adj.; n.) atulya; asadisa;
nonplus,(m.) kattabbānicchaya; sambādha.
nonreturner,(m.) anāgāmī.
nonsense,(m.) vippalāpa (f.)
nonsensical,(adj.) attharahita; asambandha.
nonsensically,(adv.) attharatākārena.
nonsuch,(adj.) asama; asadisa; appaṭma.
nonsuit,(nt.) codanāpaṭikkosana. (v.t.)
nontransgression,(m.) avītikkama.
noodle,(m.) mandamati; duppañña.
nook,(m.) koṇa. (nt.) vivittaṭṭhāna.
noon,(ind.) divā. (m.) majjhaṇha. (adj.)
noontide,(m.) majjhaṇhakāla.
noose,(m.) pāsa. (nt.) bandhana. (v.t.)
nor,(conj.) na ca; na vā.
norm,(m.) niyāma. (nt.) sutta; niddassana.
normal,(adj.) sābhāvika; niyamānugata;
normal school,(m.) guruvuttivijjālaya.
normal state,(f.) pakati. (m.) sabhāva.
normalise,(v.t.) pākatikattaṃ pāpeti.
normality,(nt.) yathākkamatta.
normally,(adv.) yathāsabhāvena;
norner,(m.) ullekhanīsampādaka; kāhalika.
north,(f.) uttaradisā; uttarā. (adj.)
northeast,(adj.) pubbuttara.
northerly,(adj.) udicca; uttaradisika.
northern,(adj.) udicca; uttaradisika.
northerner,(m.) uttaradesavāsī.
northpole,(m.) sudassana.
northwards,(adv.) uttarābhimukhaṃ.
northwest,(adj.) pacchimuttara.
nose,(f.) nāsā; nāsikā. (nt.) ghāṇa. (v.t.)
nose treatment,(nt.) natthukamma.
nosebag,(m.) (assānaṃ) mudhapasibbaka.
nosegay,(m.) pupphagocchaka;
noser ing,(nt.) nāsikābharaṇa.
nosestring,(f.) kusā.
nosology,(f.) roganidānavijjā.
nostalgia,(f.) gharavirahapīḷā;
nostril,(m.) nāsāpuṭa. (nt.) ghānabila.
nostrum,(nt.) guttosadha.
nosy,(adj.) mahānāsika; duggandhāvaha.
not,(adv.) na; no; na hi. (ind.) (prohibitive)
not done,(adj.) akata.
not finding,(adj.) anibbisanta.
not long ago,(with abl.) nātipure.
not seldom,(adv.) abhiṇhaṃ.
notability,(nt.) anussaraṇīyatta; visiṭṭhatta.
notable,(adj. ) saritabba; visiṭṭha; pākaṭa.
notably,(adv.) visesato; visesena.
notalgia,(f.) piṭṭhirujā.
notary,(m.) nītilipi -sampādaka.
notation,(nt.) aṅkaṇa.
notch,(m.) cheda. (nt.) vivara.
note,(nt.) aṅkana; abhiññāṇa;
notebook,(nt.) ciṇhapotthaka.
notepaper,(nt.) sāsanapatta.
noteworthy,(adj.) sallakkhaṇīya.
nothing,(ind.) na kiñci. ( m.) abhāva. (f.)
nothingness,(nt.) suññatta; ākiñcañña.
nothwestern,(adj.) pacchimuttarīya.
notice,(f.) āvedanā; nivedanā. (nt.)
noticeable,(adj.) pākaṭa; sallakkhaṇāraha.
notification,(nt.) nivedana; viññāpana.
notify,(v.t.) ñāpeti; nivedeti; pakāseti. (pp.)
notion,(f.) mati. (m.) saṅkappa .
notional,(adj.) saṅkappāyatta.
notoriety,(f.) vikhyāti; akitti. (m.) ayasa.  notorious : (adj.) pasiddha; pākaṭa;
notoriously,(adv.) supākaṭaṃ;
notoriousness,(f.) pasiddhi; akitti.
notwithstanding,(prep)  agaṇetvā;
nought,(nt.) na kiñci pi; suññalakkhaṇa. (m.)
noumenon,(nt.) asaṅkhatārammaṇa.
noun,(nt.) niddājanakosadha. (v.t.)
nourish,(v.t.) poseti; bharati; paṭijaggati.
nourishing,(adj.) ojavantu; puṭṭhikara.
nourishment,(nt.) posaṇa; yāpana; bhojana.
nous,(m.; nt.) mana. (f.) buddhi.
novel,(m.) navapabandha. (f.) navakathā.
novelette,(m.) saṅkhitta -pabandha.
novelise,(v.t.) navapabandhattaṃ pāpeti.
novelist,(m.) navakathāsampādaka.
novelty,(f.) navatā. (nt.) abhinavavatthu.
November,(m.) kattikamāsa.
novennial,(adj.) navasaṃvaccharika.
novice,(m.) navaka; sāmaṇera;
noviciate,(nt.) ādhu nikatta; sāmaṇeratta.
now,(adv.) adhunā; idāni; etarahi. (conj.)
now and then,kālantarena; yadā kadāci.
nowadays,imasmiṃ kāle.
nowhere,(adv.) nakatthaci.
nowise,(adv.) na kathañci pi.
noxi ous,(adj.) hiṃsaka; ahitakara;
noxiously,(adv.) ahitakaratāya.
nozzle,(m.) mukharakkhana -khaṇḍa;
nuance,(nt.) sukhumanānatta.
nubble,(m.) khuddaka -gaṇṭhi.
nubile,(adj.) vivāhayogga.
nucleus,(nt.) mūlakāraṇa. (f.) j anakasatti.
nude,(adj.) nagga; acela; anāvuta.
nudely,(adv.) naggākārena.
nudge,(v.t.) vitudati; kapparena saññāpeti.
nudity,(nt.) naggiya.
nugatory,(adj.) mogha; viphala; appaggha.
nugget,(m.) asodhita -lohapiṇḍa.
nuisance,(f.) pīḷā; bādhā. (nt.) appiyavatthu.
null,(adj.) nitteja; vigatabala; nipphala;
nullification,(nt.) moghīkaraṇa; balahāpana.
nullify,(v.t.) moghīkaroti.
nullity,(m.) abhāva. (nt.) suññatta;
numb,(adj.) santhambhia; naṭṭhapasāda.
number,(f.) saṅkhyā; gaṇanā. (m.) aṅka.
numbering,(nt.) saṅkhyāna.
numberless,(adj.) asaṅkhya; gaṇanātīta;
numbness,(nt.) thambhitatta.
numerable,(adj.) saṅkheyya.
numeral,(f.) saṅkhyā. (adj.)
numerally,(adv.) yattāsaṅkhyaṃ.
numerary,(adj.) saṅkhyādhīna;
numeration,(nt.) saṅkhyāna.
numerator,(m.) gaṇaka. (f.) (gahetabba -)
numerical,(adj.) saṅkhyāvācaka.
numerically,(adv.) gaṅanavasena;
numerous,(adj.) aneka; anappaka.
numerously,(adv.) bahuso; anekadhā.
numerousness,(nt.) anikatta; bāhulla.
numismatic,(adj.) mūlamuddaṃkaṇāyatta;
numismatology,(f.) rūpiyavijjā.
nummary,(adj.) rūpiyāyatta.
nummet,(nt.) divābhojana.
numskull,(m.) mūḷhapuggala.
nun,(f.) sam ṇī; bhikkhunī.
nunnery,(m.) bhikkhunīupassaya;
nunship,(m.) samaṇībhāva.  nuptial : (m.) pāṇiggaha. (adj.)
nuptial ceremony,(nt.) vivāhamaṅgala.
nurse,(f.) dhātī; gilānupaṭṭhākā; posikā;
nurseling,(m.) thanapa.
nurseman,(m.) rukkhapotakasaṃkkhaka.
nursery,(nt.) posaṇaṭṭhāna.
nurserymaid,(f.) paricārikā dhātī.
nursing,(nt.) posaṇa; upaṭṭhāna.
nurture,(nt.) posaṇa; saṃvaḍḍhana;
nut,(nt.) sakapāla -phala.
nutate,(v.i.) onamati. (pp.) onata.
nutation,(nt.) onamana; kampana;
nutcracker,(nt.) kapālabhinadaka.
nutmeg,(nt.) j ātiphala.
nutrient,(adj.) posaṇakara.
nutriment,(nt.) posaṇa. (m.) āhāra.
nutrition,(nt.) posṇakaraṇa.
nutritious,(adj.) puṭṭhikara; ojavantu.
nutritive,(adj.) posaṇadāyī.
nutty,(adj.) phalabahula; phalarasayutta.
nuzzle,(v.t.) sukkhaṃ nipajj ati. (pp.) sukhaṃ
nyctalopia,(f.) rattandhatā.
nyctitropic,(adj.) rattiyaṃ parivattanasīla.
nymph,(f.) jaladevatā; vanadevatā.
nympholepsy,(f.) alabbhaneyyacintāya
nymphomania,(f.) balavakāmāsā. (m.)
o,(intj.) he; bho; ambho; (joy and surprise)
oaf,(m.) virūpadāraka.
oafish,(adj.) mandapañña; dandha.
oak,(m.) sindūrarukkha.
oar,(f.) nāvāpājanī. (m.) keṇipāta. (v.t.)
oarsman,(m.) arittadhārī.
oasis,(f.) kantāra -khemabhūmi.
oat,(m.) dhaññavisesa.
oath,(m.) sapatha. (nt.) abhisapana.
obduracy,(nt.) dubbacatta; anassavatta.
obdurate,(adj.) dubbaca; anassava;
obdurately,(adv.) dubbacākārena.
obedience,(nt.) sovacassa; subbacatta. (f.)
obedient,(adj.) assava; subbaca; vidheyya;
obediently,(adv.) suvacatāya; assavākārena.
obeisance,(m.) paṇāma; namakkāra. (f.)
obelisk,(m.) sūcisaṇṭhānathambha.
obelize,(v.t.) sūcitthambhena aṅketi. (pp.)
obese,(adj.) pīṇa; pīvara; thūla.
obey,(v.t.i.) anuvattati; sussūsati. (pp.)
obfuscate,(v.t.) andhayati; moheti;
obfusc ation,(nt.) andhīkaraṇa.
obit,(m.) maraṇānussaraṇussava.
obituary,(nt.) maraṇanivedana; matakicca.
object,(nt.) vatthu; gocaravatthu. (m.)
objectify,(v.t.) visayabhāvaṃ or
objection,(m.) virodha.
objectionable,(adj.) nisedhetabba;
objective,(adj.) kammavācaka; bāhira;
objectiveness,(nt.) bāhiratta.
objuration,(nt.) sapathakaraṇa.
objurgate,(v.t.) nindati; paribhavati; tajjeti.
objurgation,(nt.) tajjana; paribhāsana.
objurgatory,(adj.) tajjakasabhāva.
oblate,(m.) samayānuvattī; saddhapuggala.
oblation,(nt.) homa; havya; balikamma.
obligation,(f.) yuttibaddhatā.
obligatory,(adj.) ā vassaka; aparihāriya.
oblige,(v.t.) vase vatteti; anuggaṇhāti;
obligee,(m.) anugahita; paṭiññāgāhī.
obligingly,(adv.) kataññutāpubbaṅgamaṃ.
obligor,(m.) paṭiññādāyī.
oblique,(adj.) passaninna; a nuju; visama;
obliquely,(adv.) visamaṃ; tiro.
obliqueness,(nt.) kuṭilatta; visamatta.
obliquity,(nt.) kuṭilatta; visamatta.
obliterate,(v.t.) lopeti; aprmajjati. (pp.)
obliteration,(m.) lopa. (nt.) apamajjana.
oblivion,(nt.) vissaraṇa. (m.) satisammosa.
oblivious,(adj.) pamussanasīla.
oblong,(adj.) āyatacaturassa.
obloquy,(f.) garahā. (m.) apavāda.
obmutescence,(m.) acala -tuṇhībhāva.
obnoxious,(adj.) kucchita; gārayha; nindiya.
obnoxiously,(adv.) kucchitākāre na.
obnoxiousness,(nt.) nindiyatta.
obscene,(adj.) gamma; nīca; anariya;
obscene language,(nt.) duṭṭhulla.
obscenely,(adv.) asabbhākārena.
obsceneness,(nt.) gammatta.
obscurant,(m.) vivecanavirodhī;
obscurantism,(nt.) a vivecakatta. (m.)
obscuration,(nt.) āvaraṇa; malinīkaraṇa.
obscure,(nt.) apākaṭavatthu. (adj.) apākaṭa;
obscure passage,(nt.) gaṇṭhiṭṭhāna.
obscurely,(adv.) gūḷhaṃ; apākaṭaṃ.
obscureness,(nt.) apākaṭatta; avisadatta;
obscurity,(nt.) apākaṭatta; avisadatta;
obsecration,(f.) balavāyācanā.
obsequial,(adj.) matakiccāyatta.
obsequ ies,(nt.) petakicca.
obsequious,(adj.) atidīna;
obsequiously,(adv.) atidīnatāya;
obsequiousness,(nt.) accantānuvattana.
observable,(adj.) diṭṭhigocara;
observance,(nt.) rakkhaṇa; ācaraṇa. (f.)
observant,(m.) nirikkhaka; sāvadhāna;
observation,(nt.) avekkhaṇa; vacana; vākya.
observatory,(nt.)
observe,(v.t.) passati; oloketi; rakkhati;
observe a fast,uposatham upavasati.
observe silence,monam ācarati.
observer,(m.) anupassī; rakkhitu.
observingly,(adv.) appamattākāren;
obsess,(v.t.) pīḷeti; āvisati. (pp.) pīḷita;
obsesses,(nt.)  pīṇatta; thūlatta.
obsession,(nt.) pīḷana; āvisana. (m.)
obsolescent,(adj.) abhāvagāmī; gatabbaya.
obsolete,(adj.) gatavohāra; appacāriyamāna.
obsoleteness,(nt.) gatavohāratta. (m.)
obstacle,(m.) paripantha; palibodha. (f .)
obstetric,(adj.) pasūtivisayaka. (plu.; f.)
obstetrician,(f.) pasūtisādhikā.
obstinacy,(nt.) dovacassa; anassavatta.
obstinate,(adj.) dubbaca; anassava;
obstinately,(adv.) dubbacākārena.
obstipati on,(m.) adhika -malabandha.
obstreperous,(adj.) duniggayha;
obstreperousness,(nt.) mukharatta;
obstruct,(v.t.) bādheti; vāreti; rodheti;
obstructing,(adj.) bādhaka; nivāraka.
obstruction,(nt.) bādhana; vāraṇa;
obstructionist,(m.) bādhākara;
obstructive,(adj.) bādhaka; pīḷaka;
obstructively,(adv.) bādhakākārena.
obstructivene ss,(nt.) bādhakākārena.
obtain,(adj.) dullabha.
obtainable,(adj.) laddhabba; adhigamanīya.
obtainment,(m.) paṭilābha; adhigama.
obtest,(v.t.) virodhaṃ pa kāseti; sakkhiṃ
obtestion,(f.) āyācanā.
obtrude,(v.i.) balena pavisati. (v.i.) ayācito
obtruncate,(v.t.) matthakaṃ chindati. (pp.)
obtru sion,(m.) anāhūtappavesa.
obtrusive,(adj.) balena pavisanalīla.
obtrusively,(adv.) āyācanaṃ vinā.
obtund,(v.t.) kuṇṭheti; balaṃ hāpeti. (pp.)
obturate,(v.t.) chiddaṃ pidahati. (pp.)
obturation,(nt.) chiddapid ahana.
obtuse,(adj.) jaḷa; mūḷha; kuṇṭha; atikhiṇa.
obtusely,(adv.) kuṇṭhākārena.
obtuseness,(nt.) kuṇṭhatta.
obverse,(nt.) mukhapassa; abhimukha. (m.)
obvert,(v.t.) abhimukhīkaroti. (pp.)
obviate,(v.t.) apaneti; apaharati;
obviation,(nt.) apaharaṇa.
obvious,(adj.) pākaṭa; vyatta; suvisada;
obviously,(adv.) supākaṭaṃ; suvisadaṃ.
obviousness,(nt.) pākaṭatta; sugamatta.
occasion,(f.) avatthā. (m.) samaya; avasara;
occasional,(adj.) pāsaṅhika; āgantuka;
occasionally,(adv.) antarantarā; kālena
occasioning,(adj.) samuṭṭhāpaka.
occident,(m.) pacchimadesa.
occidental,(adj.) pacchimadesīya; apānīna.
occidentalize,(v.t.) apācīnattaṃ pāpeti. (pp.)
occiput,(m.) sīsapacchābhāga.
occlude,(v.t.) paṭicchādeti; paṭicchādita.
occlusion,(nt.) pidahana; chādana.
occult,(adj.) gūḷha; duviññeyya; rāhassaka.
occultion,(nt.) tirokaraṇa.
occultism,(f.) gūḷhavijjā.
occultist,(m.) gūḷhavijjāvidū.
occupancy,(m.) pariggaha. (f.) adhivāsitā.
occupant,(m.) pa riggāhaka; adhivāsī.
occupation,(m.) jīvanopāya; vyāpāra.
occupied,(adj.) vyāvaṭa; payutta.
occupier,(m.) sāmī; adhikārī.
occupy,(v.t.) pariggaṇhāti; adhivasati;
occur,(v.i.) bhavati; sijjhati; khāyati;
occurrence,(f.) siddhi.
ocean,(m.) samudda; sāgara; sindhu;
oceanic,(adj.) sāmuddika.
oceanography,(f.) samuddavaṇṇanā.
oceanology,(f.) samu ddavijjā.
ocellus,(nt.) makkhikālocana; vaṇṇabindu.
ochlocracy,(nt.) dāmarikapālana.
ochre,(nt.) geruka.
octachord,(adj.) aṭṭhatantika.
octad,(nt.) aṭṭhaka.
octagon,(nt.) aṭṭhakoṇakavatthu.
octagonal,(adj.) aṭṭhaṃsika.
octant,(m.) cakkassa aṭṭhamabhāga.  octave : (nt.) aṭṭhaka. (m.) saraggāma. (f.)
octavo,(adj.) aṭṭhapattika.
octennial,(adj.) aṭṭhavassika.
octingentenary,(m.) aṭṭhasatavassikussava.
October,(m.) assayuja.
octodecimo,(m.) aṭṭhārasapaṇṇaka -
octogenarian,(m.) asītivassika.
octopod,(m.) aṭṭhapadikapāṇī.
octopus,(m.) aṭṭhahatthakapāṇī.
octori,(m.) nagarasuṅka.
octosyllabic,(adj.) aṭṭhasarayutta.
octuple,(adj.) aṭṭhaguṇa; aṭṭhavidha.
ocular,(adj.) cakkhuvisayaka; paccakkha.
ocula rly,(adv.) paccakkhaṃ.
oculist,(m.) akkhivajja; nayanatikicchaka.
odalisque,(f.) antepuradāsī.
odd,(f.) atiritta ( -visama -) saṅkhyā. (adj.)
oddity,(n.) vesamma; vikaṭatta;
oddly,(adv.) visamākārena.
oddness,(n.) vesamma; vikaṭatta;
odds,(f.; plu.) visadisatā. (m.) tulanātireka.
ode,(nt.) gīta. (m.) pajjabandha.
odious,(adj.) kucchita; dessiya; garahita;
odiously,(adv.) dessiyākārena;
odiousness,(nt.) gārayhatta.
odium,(nt.) viddesa. (m.) appiyatta.
odontalgia,(f.) dantarujā.
odorous,(adj.) sugandhī; surabhigandhika.
odorously,(adv.) sugandhasahitaṃ.
odour,(m.) gandha.
odourless,(adj.) gandharahita.
oecumenical,(adj.) sabbasādhāraṇa.
oed ema,(m.) sapubba -sopha.
oedematous,(m.) uddhumāta.
oesophagus,(m.) galanāḷa.
oestrum,(f.) 1. piṅgalamakkhikā; 2.
of,(prep.) addhikicca; uddissa.
of great learning,bahussuta.
of no avail,(adj.) nipphala; niratthaka.
of old,(adv.) p urā.
of the same age,(adj.) samvayaṭṭha.
off,(adv.) dūre; dūrato. (intj.) apehi. (adj.)
offal,(nt.) ucciṭṭhabhojana;
offday,(m.) vissamanadivasa.
offence,(nt.) vajja. (m.) dosa; āparadha . (nt.)
offenceless,(adj.) niddosa.
offend,(v.t.) apasādeti; āsādeti; aparajjhati.
offender,(m.) āsādaka; pakopaka.
offensive,(f.) viruddhakriyā. (m.) virodha .
offensively,(adv.) appiyākārena;
offensiveness,(nt.) pīḷājanakatta; appiyatta;
offer,(nt.; m.) abhihāra; upanikkhepa. (f.)
offerer,(m.) abhihāraka; upanetu.
offering,(f.) pūjā. (m.) uphāra. (nt.) yajana;
offertory,(nt.) (sāmayika -) chandaka -
offhand,(adv.) sukhena.
office,(nt.) 1. kicca; kāriya. 2. ṭhānantara;
officebearer,(m.) ṭhānantarika.
officer,(m.) padaṭṭha; dhurandhara;
official,(m.) rājapurisa. (adj.) rajjkiccāyatta.
officialdom,(m.) adhikārīgaṇa.
officially,(adv.) rajjakiccavasena.
officiate,(v.i.) adhikāre abhiyuñjati;
officinal,(adj.) vikkeyyosadhāyatta.
officious,(adj.) adh ikānuggahasīlī.
officiously,(adv.) adhikanugghakāmatāya.
offing,(nt.) samudde dissamānadūraṭṭhāna.
offish,(adj.) unnatikāma.
offlet,(nt.) niggamana.
offscourings,(nt.; plu.) kaccavara;
offshoot,(m.) pāroha; niggtakoṭṭhāsa;
offspring,(f.) santati; pajā; paramaparā. (nt.)
offtime,(m.) vissamanakāla.
oft,(adv.) askiṃ; abhiṇhaṃ; anekavāraṃ;
often,(adv.) askiṃ; abhiṇhaṃ; anekavā raṃ;
ogle,(v.i.) piyacakkhunā oloketi. (pp.)
ogre,(m.) rakkhasa; dānava.
ogress,(f.) rakkhasī.
oh,(intj.) bho; ambho; 2. (joy and surprise : )
oho,(intj.) vimhaye tuṭṭhiyā canip āto.
oil,(nt.) tela. (m.) sineha. (v.t.) telena
oilcake,(m.) telapūva.
oilcloth,(nt.) sitthakavattha.
oiliness,(f.) telagatikatā.
oiling,(nt.) sinehan; abhaḷñhana.
oilman,(m.) telavaṇija.
oilm ill,(nt.) telayanta.
oilpaint,(nt.) telacittkamma.
oily,(adj.) 1. satela; 2. upalālaka.
